province;commoudept;arrondissement;siege;centrevote
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE PUBLIQUE NZINGUI
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE CATHOLIQUE LETOGO MABENGO
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE ALL CHRETIENNE
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE ALLIANCE CHRETIENNE BONGOLO
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE ALL. CHRET. MBELENALETEMBE
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE PUB. ISSINGA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;FOYER DES JEUNES (CENTRE VILLE)
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;FOYER DES JEUNES (MALONGO MAPA)
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE PROTESTANTE IDEMBE
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE CATHOLIQUE KANDA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE ALL CHRET MAKOMBO
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;MAYANGA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE PUBLIQUE MEMBA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE CATH MOUKOUNDOU
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;ECOLE PUBLIQUE MOUYAMBA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Wano;;1 siege;POUNGOU IMENO
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE PRIVEE CATH BAPOSSO
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE PRIVEE CATH (MOUEKI)
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE PRIVEE PROT. (BIBAMBA)
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE PUBLIQUE
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;HANGAR (LONGO)
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;LEPEPE
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE PUBLIQUE LEVINDA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;LEVINDA 2
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE ALL. CHRET LEYONGA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;MADIBA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;MAMBONGA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;MAYIGHA (HANGAR)
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE PUBLIQUE MBENGAMAMBA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE CATHOLIQUE MBOMO
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;MIKOVANDZA (CHEF DE VILLAGE)
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE PUBLIQUE MINTSANDZA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;MOMBI
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE CATHOLIQUE MOUKIMBI
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;ECOLE ALL CHRET.MOUKOUAGNA
PROVINCE DE LA NGOUNIE;Departement de Louétsi-Bibaka;;1 siege;NDZINDZI
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;BAGNARA
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;CES HORIZON BASE BIBORA
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;CENTRE VILLE
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;DIGOUNZI
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;DOUGHENY
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;DOUKOUMOU
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;ECOLE COMMUNALE –C NDABILILA 2
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;ECOLE SAINT JOSEPH
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;IDOUMA
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;KERI NZAMBI
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;LYCEE NAZAIRE BOULINGUI
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;MAKABANA
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;MIGOMA
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;ANCIEN CES HORIZON (MINZANZALA II)
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;NDABILILA 1 (EDUCATION POPULAIRE)
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;NDENGA
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;NOTRE DAME
PROVINCE DE LA NYANGA;Commune de Tchibanga ;1er  arrondissement;1 siege;ECOLE COMMUNALE G. POLA II
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE COMMUNALE E BATSIENGUI 1
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE COMMUNALE BATSIENGUI 2
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE PROTESTANTE
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE COMMUNALE A INGARA 1
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE COMMUNALE H INGARA 2-3
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;LYCEE PROFESSIONNEL
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE COMMUNALE F MAVOUNDI
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE COMMUNALE B MOUKENGA 2
PROVINCE DE LA NYANGA;Commune de Tchibanga ;2eme arrondissement ;1 siege;ECOLE COMMUNALE D MOUKENGA 3
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;DIGOUDOU
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;DOUGANDOU
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;DOUSSEGOUSSOU
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;ILALA
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;IMANGUE PLANTEUR
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;LOUANGO
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MILOLO
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MOUGAMBOU DIMBOU
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MOUNANGA
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MOUNIONZI
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MOUTSOUBIRI
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;NZIENZILI
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;TONO
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;VIEUX TONO
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;DIKOUTOU
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MABOURIGA
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MANDILOU 2
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;MOUEDJI
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;NDENGUILILA
PROVINCE DE LA NYANGA;Département de Mougoutsi ;;1 siege;PENIOUNDOU
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;BASE PEDAGOGIQUE MIAMBA
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;CENTRE SOCIAL MOABI 10- ECOLE MANDILOU
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;CES BILENGUI
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE MOUKOKO MBAKA
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE PROTESTANTE. (MOUDIBA PUTU NENI)
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE PUBLIQUE A (MOTOUMBA DJABA)
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE PUBLIQUE B (MISSAFOU)
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE ST KISITO (MOUGOUNA)
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE DOUGASSOU
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE MANDILOU
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;ECOLE NGUENDA
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;MABALA
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;MBAMBA
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;MBILA NYAMBI
PROVINCE DE LA NYANGA;Département de Douigny ;;1 siege;NGANGALA
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;BOUGOULOU
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;BOUNOUNGA
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;BOUTEMBI
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;DOUSSALA
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;KONDZI
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;MALOLO
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;MBOUNGOU
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;MIVEMBA MBORTO
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;MOKABE
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;MOUKOUALOU
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;MOURINDI
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;MOUSSAMOU KOUBOU
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;PAHOU NZAMBI
PROVINCE DE LA NYANGA;Département de Douigny ;;2 siege;RINA NZALA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;1 siege;BANA AVIATION
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;1 siege;DISPENSAIRE TCHIOLE NDEMBET
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;1 siege;ECOLE PUBLIQUE FOUIKA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;1 siege;ECOLE KOUANGO
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;1 siege;LYCEE JEAN BAPTISTE MOANDA (MABOUNDA)
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;1 siege;PREFECTURE DOUANES
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;1 siege;SAINT ANTOINE
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;BILANGA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;DITOUBA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;DOUIGNY
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;LOUANDO
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;LOUBOMO
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MALOUNGA I
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MALOUNGA II
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MANGALI
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MIRENDA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MIVEMBA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MOUENDA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MOUGAGARA
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MOULONDO
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;PANGA E -
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;VEMO
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;DOUMVOU
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MALEMBET (MAMBI 2)
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;MAMBI I
PROVINCE DE LA NYANGA;Département de la Basse-Banio ;;2 siege;PILAKOUMBI
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;ECOLE PUBLIQUE CENTRE VILLE
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;GNENZE MOGNO
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;KALA BOUBOTE
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;MALEMBE
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;MINKOUMI
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;PK12 CARREFOUR
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;RINA NZALA
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;TALA ZAMBI
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;TCHIANZY
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;TIYA
PROVINCE DE LA NYANGA;Département de la Haute-Banio ;;1 siege;YOYO
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;BAMBOMA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;BANDA MAMBA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;BIKOKO
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;CHANTIER
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;DONGO
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;DOUANO I
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;DOUANO II
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;DOUNDZADZA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;DOUVOULI
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;ECOLE PUBLIQUE NGONGO
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;ILOUNGA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;KOTA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;KOUMOU DOUSSALA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;MBANGA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;MOUNGOUDI
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;NYALI
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;NZINGA
PROVINCE DE LA NYANGA;Département de Doutsila ;;1 siege;PANZA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;BAYADI
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;BIGOUNDOU GUIHA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;BIKAMBA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;CENTRE VILLE
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;DIBOR DIBORA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;DILEMBA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;DOUMANGA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;DOUVOYE
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;GNOUMBETSI
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;IKOLI
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;MAGONGA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;MAHANDI MONUMBUMBA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;MIASSA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;MOULENGUI BINDZA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;PC NYANGA SIAT
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;RINA NZALA
PROVINCE DE LA NYANGA;Département de Mongo ;;1 siege;VOUNGOU SOGADEL
